time	V(a,b)	I(V4)
4.022478571432595e-002	5.749174e+000	1.754112e+000
4.037092857146895e-002	-1.036863e+001	1.592238e+000
4.051707142861195e-002	-2.643076e+001	1.425798e+000
4.066321428575495e-002	-4.243721e+001	1.254792e+000
4.080935714289796e-002	-5.838799e+001	1.079220e+000
4.095550000004096e-002	-7.428310e+001	8.990813e-001
4.095650000004096e-002	-7.439031e+001	8.978475e-001
4.105264285718391e-002	-8.467844e+001	7.782521e-001
4.114878571432687e-002	-9.482259e+001	6.580317e-001
4.124492857146982e-002	-1.048228e+002	5.371861e-001
4.134107142861277e-002	-1.146789e+002	4.157156e-001
4.143721428575573e-002	-1.243911e+002	2.936199e-001
4.153335714289868e-002	-1.339593e+002	1.708992e-001
4.162950000004163e-002	-1.433836e+002	4.755348e-002
4.164250000004165e-002	-1.446394e+002	3.092001e-002
4.165550000004166e-002	-1.458917e+002	1.428680e-002
4.166850000004167e-002	-1.471404e+002	-2.346163e-003
4.168150000004169e-002	-1.483856e+002	-1.897887e-002
4.169450000004170e-002	-1.496273e+002	-3.561132e-002
4.170750000004171e-002	-1.508654e+002	-5.224351e-002
4.172050000004172e-002	-1.520999e+002	-6.887545e-002
4.198050000004198e-002	-1.759833e+002	-4.006160e-001
4.212664285718499e-002	-1.887648e+002	-5.869558e-001
4.227278571432799e-002	-2.008874e+002	-7.701527e-001
4.241892857147100e-002	-2.123511e+002	-9.502067e-001
4.256507142861399e-002	-2.231559e+002	-1.127118e+000
4.271121428575700e-002	-2.333019e+002	-1.300886e+000
4.285735714290000e-002	-2.427889e+002	-1.471512e+000
4.300350000004301e-002	-2.516171e+002	-1.638995e+000
4.300450000004301e-002	-2.516743e+002	-1.640115e+000
4.315064285718601e-002	-2.596985e+002	-1.802359e+000
4.329678571432902e-002	-2.668875e+002	-1.958013e+000
4.344292857147202e-002	-2.732413e+002	-2.107074e+000
4.358907142861502e-002	-2.787601e+002	-2.249545e+000
4.373521428575802e-002	-2.834437e+002	-2.385425e+000
4.388135714290103e-002	-2.872921e+002	-2.514713e+000
4.402750000004403e-002	-2.903055e+002	-2.637410e+000
4.402850000004403e-002	-2.903228e+002	-2.638215e+000
4.408792857147267e-002	-2.912789e+002	-2.685440e+000
4.414735714290129e-002	-2.920881e+002	-2.731263e+000
4.420678571432993e-002	-2.927503e+002	-2.775682e+000
4.426621428575855e-002	-2.932655e+002	-2.818698e+000
4.432564285718719e-002	-2.936336e+002	-2.860311e+000
4.438507142861582e-002	-2.938548e+002	-2.900520e+000
4.444450000004445e-002	-2.939290e+002	-2.939326e+000
4.451135714290166e-002	-2.938346e+002	-2.981217e+000
4.457821428575887e-002	-2.935543e+002	-3.021154e+000
4.464507142861608e-002	-2.930882e+002	-3.059138e+000
4.471192857147329e-002	-2.924362e+002	-3.095169e+000
4.477878571433050e-002	-2.915983e+002	-3.129246e+000
4.484564285718771e-002	-2.905746e+002	-3.161369e+000
4.491250000004492e-002	-2.893651e+002	-3.191539e+000
4.505250000004506e-002	-2.862402e+002	-3.248010e+000
4.519864285718806e-002	-2.820806e+002	-3.297485e+000
4.534478571433107e-002	-2.771100e+002	-3.336748e+000
4.549092857147407e-002	-2.713283e+002	-3.365797e+000
4.563707142861707e-002	-2.647357e+002	-3.384633e+000
4.578321428576007e-002	-2.573320e+002	-3.393257e+000
4.592935714290308e-002	-2.491172e+002	-3.391668e+000
4.607550000004608e-002	-2.400915e+002	-3.379866e+000
4.607650000004608e-002	-2.400275e+002	-3.379749e+000
4.621107142861764e-002	-2.310491e+002	-3.359375e+000
4.634564285718921e-002	-2.215412e+002	-3.330606e+000
